CODI_OPENDATA ,CODI_IDENTIFICACIO_ESTACIO,CODI_IDENTIFICACIO_EQUIP,NUMERO_DE_SERVEI,CODI_DEL_CONNECTOR,TIPO_CONNECTOR,POTENCIA_MAXIMA_DE_CARGA_(W),NUM_SERVEIS_DEL_EQUIP,NUM_DE_CONNECTORS_AL_EQUIP,TIPOLOGIA_DE_CARREGA,LATITUD,LONGITUD,DIRECCIO,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,CODI_POSTAL,CODI_ASIA,TIPUS_DE_ACCES,OPERADOR,TELF,TARIFA ,CONTROL_DE_ACCES,RESTRICCIO_DE_US
10501012,105,01,01,2,MENNEKES,43000,1,3,RÀPIDA,41.406484,2.152241,"Torrent de l'Olla, 203",6,Gràcia,31,Vila de Gràcia,08012,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
10501013,105,01,01,3,COMBO 2,50000,1,3,RÀPIDA,41.406484,2.152241,"Torrent de l'Olla, 203",6,Gràcia,31,Vila de Gràcia,08012,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
10502011,105,02,01,1,SCHUKO,3600,2,2,LENTA,41.406574,2.152294,"Torrent de l'Olla, 203",6,Gràcia,31,Vila de Gràcia,08012,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
10502021,105,02,02,1,SCHUKO,3600,2,2,LENTA,41.406574,2.152294,"Torrent de l'Olla, 203",6,Gràcia,31,Vila de Gràcia,08012,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
10601011,106,01,01,1,CHADEMO,50000,1,3,RÀPIDA,41.441242,2.164861,"Via Favència, 21 (Mercat Canyelles)",8,Nou Barris,49,Canyelles,08042,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
10601012,106,01,01,2,MENNEKES,43000,1,3,RÀPIDA,41.441242,2.164861,"Via Favència, 21 (Mercat Canyelles)",8,Nou Barris,49,Canyelles,08042,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
10601013,106,01,01,3,COMBO 2,50000,1,3,RÀPIDA,41.441242,2.164861,"Via Favència, 21 (Mercat Canyelles)",8,Nou Barris,49,Canyelles,08042,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
10701011,107,01,01,1,CHADEMO,50000,1,3,RÀPIDA,41.414388,2.172257,"Mas Casanovas, 69",7,Horta-Guinardó,35,El Guinardó,08041,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
10701012,107,01,01,2,MENNEKES,50000,1,3,RÀPIDA,41.414388,2.172257,"Mas Casanovas, 69",7,Horta-Guinardó,35,El Guinardó,08041,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
10701013,107,01,01,3,COMBO 2,50000,1,3,RÀPIDA,41.414388,2.172257,"Mas Casanovas, 69",7,Horta-Guinardó,35,El Guinardó,08041,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
10801011,108,01,01,1,CHADEMO,50000,1,3,RÀPIDA,41.431152,2.183394," Av. Meridiana, 400 E",9,Sant Andreu,60,Sant Andreu,08030,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
10801012,108,01,01,2,MENNEKES,43000,1,3,RÀPIDA,41.431152,2.183394," Av. Meridiana, 400 E",9,Sant Andreu,60,Sant Andreu,08030,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
10801013,108,01,01,3,COMBO 2,50000,1,3,RÀPIDA,41.431152,2.183394," Av. Meridiana, 400 E",9,Sant Andreu,60,Sant Andreu,08030,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
10901011,109,01,01,1,CHADEMO,50000,1,3,RÀPIDA,41.404781,2.174774,"Provença, 447 - Marina",2,Eixample,6,La Sagrada Família,08025,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,CÀRREGA RÀPIDA (<11kW)
10901012,109,01,01,2,MENNEKES,43000,1,3,RÀPIDA,41.404781,2.174774,"Provença, 447 - Marina",2,Eixample,6,La Sagrada Família,08025,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,CÀRREGA RÀPIDA (<11kW)
